Clasificación;Título del Producto;Precio;URL
🟢 TORNILLO;"Tornillo Hexagonal Punta Broca 12 x 2"" 100 Unidades";17703.0;"https://www.sodimac.cl/sodimac-cl/articulo/139865531/Tornillo-Hexagonal-Punta-Broca-12-x-2""-100-Unidades/139865532"
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8X1 Punta Fina 1000 Unidades;12990.0;https://www.sodimac.cl/sodimac-cl/articulo/142155623/Tornillo-Cabeza-De-Lenteja-8X1-Punta-Fina-1000-Unidades/142155625
🟢 TORNILLO;Tornillos Madera/volcanita Zincado 6x1 5/8 1 Kilo 530 Uni.;7990.0;https://www.sodimac.cl/sodimac-cl/articulo/150686088/Tornillos-Madera-volcanita-Zincado-6x1-5-8-1-Kilo-530-Uni./150686089
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8 X 1/2 Punta Fina 1000 Unidades;7990.0;https://www.sodimac.cl/sodimac-cl/articulo/142155265/Tornillo-Cabeza-De-Lenteja-8-X-1-2-Punta-Fina-1000-Unidades/142155266
🟢 TORNILLO;Tornillo Auto Pfina 8x1 1/4 Cabeza Lenteja 1000un;18990.0;https://www.sodimac.cl/sodimac-cl/articulo/149031099/Tornillo-Auto-Pfina-8x1-1-4-Cabeza-Lenteja-1000un/149031101
🟢 TORNILLO;Tornillo Volcanita Zn Pta Broca De 6 X1 5 /8 (bolsa 1.000 Un);18990.0;https://www.sodimac.cl/sodimac-cl/articulo/149084468/Tornillo-Volcanita-Zn-Pta-Broca-De-6-X1-5--8-(bolsa-1.000-Un)/149084469
🟢 TORNILLO;"Tornillo Cabeza Lenteja Punta Broca 8 x 1-1/4"" 100 Unidades";6153.0;"https://www.sodimac.cl/sodimac-cl/articulo/139867502/Tornillo-Cabeza-Lenteja-Punta-Broca-8-x-1-1-4""-100-Unidades/139867503"
🔴 INTRUSO (Otro);Tirafondos 1/4 X 1 1/4 Pulgadas 100 Unidades;13990.0;https://www.sodimac.cl/sodimac-cl/articulo/150594214/Tirafondos-1-4-X-1-1-4-Pulgadas-100-Unidades/150594215
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8x1 1/4Pb 1000un;30598.0;https://www.sodimac.cl/sodimac-cl/articulo/149088173/Tornillo-Cabeza-De-Lenteja-8x1-1-4Pb-1000un/149088174
🟢 TORNILLO;Tornillo Tirafondo Madera 75 mm 4.8 mm 4 unidad(es);590.0;https://www.sodimac.cl/sodimac-cl/articulo/113208358/Tornillo-Tirafondo-Madera-75-mm-4.8-mm-4-unidad(es)/113208359
🟢 TORNILLO;"Tornillo volcanita zincado rosca gruesa 3x8"" punta fina 100uds";4590.0;"https://www.sodimac.cl/sodimac-cl/articulo/146668442/Tornillo-volcanita-zincado-rosca-gruesa-3x8""-punta-fina-100uds/146668443"
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8x1 1/4 Punta Broca 500 Unidades;9990.0;https://www.sodimac.cl/sodimac-cl/articulo/145456807/Tornillo-Cabeza-De-Lenteja-8x1-1-4-Punta-Broca-500-Unidades/145456808
🟢 TORNILLO;Tornillo Auto Pfina 8x1 Cabeza Lenteja 1000un;17900.0;https://www.sodimac.cl/sodimac-cl/articulo/149030993/Tornillo-Auto-Pfina-8x1-Cabeza-Lenteja-1000un/149030995
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8x1 Punta Broca Caja 10.000 Unidades;99990.0;https://www.sodimac.cl/sodimac-cl/articulo/129799854/Tornillo-Cabeza-De-Lenteja-8x1-Punta-Broca-Caja-10.000-Unidades/129799857
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8x1 1/4 Punta Broca Embalaje 8000 Unidades;115990.0;https://www.sodimac.cl/sodimac-cl/articulo/145456974/Tornillo-Cabeza-De-Lenteja-8x1-1-4-Punta-Broca-Embalaje-8000-Unidades/145456975
🟢 TORNILLO;"Tornillo perforante 2,1/2x12"" 100uds";8990.0;"https://www.sodimac.cl/sodimac-cl/articulo/146666235/Tornillo-perforante-2,1-2x12""-100uds/146666238"
🟢 TORNILLO;Tornillo Tirafondo Madera 30 mm 3.5 mm 2 unidad(es);1890.0;https://www.sodimac.cl/sodimac-cl/articulo/112857588/Tornillo-Tirafondo-Madera-30-mm-3.5-mm-2-unidad(es)/112857589
🟢 TORNILLO;"Tornillo Tirafondo Madera 3/8 "" 2.1 mm 4 unidad(es)";390.0;"https://www.sodimac.cl/sodimac-cl/articulo/112857667/Tornillo-Tirafondo-Madera-3-8-""-2.1-mm-4-unidad(es)/112857668"
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8x3 /4 Pb 1000un;14600.0;https://www.sodimac.cl/sodimac-cl/articulo/149087646/Tornillo-Cabeza-De-Lenteja-8x3--4-Pb-1000un/149087647
